,Geo Point,NOM_COM,Unnamed: 0,Nombre d’habitants de la commune,Policiers pour 100 habs,Libellé de la commune,president_gagnant,partie,Revenu fiscal de référence des foyers fiscaux 2021,Evolution,Age moyen,longitude,latitude
1844,"49.2197831551, 3.99025246041",bezannes,641,2978.0,3.3579583613163195,bezannes,MACRON,Centre,82323.645,-88.9476322385871,"21,59330629", 3.99025246041,49.2197831551
1845,"48.7237769123, 3.72458445814",sezanne,644,4772.0,4.191114836546522,sezanne,LE PEN,Extrême droite,68101.985,-85.90628745990297,"26,93604651", 3.72458445814,48.7237769123
1846,"45.1549989093, 5.67502244415",seyssins,521,7400.0,2.702702702702702,seyssins,MACRON,Centre,170746.561,-92.84199931851045,"26,38232089", 5.67502244415,45.1549989093
1847,"47.5220426464, -2.57757017219",damgan,700,1800.0,5.555555555555555,damgan,MACRON,Centre,44314.351,-97.33082404839912,"35,43379791", -2.57757017219,47.5220426464
1848,"45.282214273, 5.88917326343",crolles,508,8554.0,9.352349777881692,crolles,MACRON,Centre,171215.215,-89.05005784678657,"23,63595446", 5.88917326343,45.282214273
1849,"43.7318722384, 0.865636759515",mauvezin,436,2149.0,0.0,mauvezin,LE PEN,Extrême droite,1044.356,1625.8485612185882,"23,53846154", 0.865636759515,43.7318722384
1858,"43.5507307546, 2.12915728863",soual,1209,2600.0,3.8461538461538463,soual,LE PEN,Extrême droite,35623.005,-88.45923582246921,"23,25", 2.12915728863,43.5507307546
1859,"49.2345108193, 6.1721071862",talange,749,7927.0,7.569067743156302,talange,LE PEN,Extrême droite,97467.511,-97.57975044627948,"23,68052878", 6.1721071862,49.2345108193
1860,"47.618029458, 6.78890710621",buc,1154,6301.0,0.0,buc,MACRON,Centre,186969.081,123.45969117749472,"22,69772481", 6.78890710621,47.618029458
1864,"43.5961759285, 5.94508442491",varages,1240,1191.0,0.0,varages,LE PEN,Extrême droite,16299.18,853.4537933810167,"25,51368613", 5.94508442491,43.5961759285
1865,"48.6361087147, 2.80093175598",guignes,1127,4300.0,0.0,guignes,LE PEN,Extrême droite,63995.148,-88.83790846143523,"18,63787042", 2.80093175598,48.6361087147
1866,"48.0509246923, 1.69380015523",patay,607,2250.0,0.0,patay,LE PEN,Extrême droite,29644.807,-89.97344121687148,"23,65273775", 1.69380015523,48.0509246923
1867,"48.9073106793, 2.44007227598",bobigny,1329,54272.0,4.606426886792453,bobigny,MÉLENCHON,Extrême gauche,480671.558,-59.71590064415668,"19,03791614", 2.44007227598,48.9073106793
1868,"45.7022251952, -0.364089662122",javrezac,193,596.0,0.0,javrezac,MACRON,Centre,11191.093,2654.734189055528,"26,68371212", -0.364089662122,45.7022251952
1869,"43.1993394435, 0.0226878275418",juillan,909,4076.0,2.4533856722276743,juillan,MACRON,Centre,65326.744,-96.16314567889684,"26,08151885", 0.0226878275418,43.1993394435
1870,"43.7497017226, -1.328306865",soustons,540,8056.0,6.206554121151937,soustons,MACRON,Centre,148867.564,-97.48715442136206,"27,70295348", -1.328306865,43.7497017226
1871,"46.5030592479, -0.414415222224",cours,1010,4700.0,2.127659574468085,cours,LE PEN,Extrême droite,60512.235,-61.72620132110473,"25,2032967", -0.414415222224,46.5030592479
1880,"49.1741037751, 6.21706339856",malroy,735,371.0,0.0,malroy,MACRON,Centre,8537.482,-80.32715032371371,"26,09868421", 6.21706339856,49.1741037751
